"Raman Shift [cm -1]","RD1","RD2","RD3","RD4","RD5","RD6","RD7","RD8","RD9"
"903","563.922","281.467","647.759","1363.01","2219.29","1029.23","958.655","299.572","595.963"
"904","566.261","281.085","646.908","1361.04","2214.06","1024.39","956.737","299.012","592.295"
"905","566.195","280.695","645.812","1355.58","2206.66","1018.23","954.73","297.708","588.955"
"906","565.179","280.2","644.029","1348.08","2196.25","1010.45","952.781","296.104","585.343"
"907","563.215","277.599","641.577","1339.04","2182.83","1002.06","950.196","294.726","581.739"
"908","561.012","273.823","638.574","1329.17","2165.98","993.932","947.218","293.721","577.917"
"909","558.333","269.76","635.356","1318.67","2145.26","986.226","943.182","291.873","573.573"
"910","555.404","264.735","631.888","1308.09","2131.41","978.805","938.393","289.587","570.55"
"911","552.402","261.567","628.518","1298.7","2117.1","972.095","926.703","287.143","568.08"
"912","548.506","258.324","624.44","1289.15","2103.44","966.098","920.703","284.343","565.892"
"913","546.58","256.96","622.44","1284.82","2096.99","963.39","918.04","283.27","564.9"
"914","540.903","253.352","616.375","1273.17","2079.35","955.77","910.476","280.232","561.933"
"915","537.236","251.626","612.446","1267.38","2069.29","952.002","905.855","277.955","559.533"
"916","533.18","249.308","608.828","1262.85","2060.72","949.681","901.856","276.292","556.737"
"917","529.591","247.793","605.715","1259.31","2055.27","948.378","898.318","275.053","553.724"
"918","526.747","246.708","603.541","1256.37","2050.75","947.447","895.067","274.535","550.429"
"919","524.374","245.753","601.504","1255.96","2044.36","946.752","892.744","273.922","548.045"
"920","522.375","245.878","599.864","1256.1","2038.48","945.592","891.316","273.836","547.628"
"921","521.572","246.301","598.726","1255.19","2032.66","944.44","891.06","273.837","546.533"
"922","519.731","246.63","597.772","1253.52","2027.74","943.052","891.983","273.384","544.682"
"923","517.875","247.219","597.005","1250.46","2023.56","941.402","893.033","273.19","543.274"
"924","516.368","248.053","596.327","1246.91","2019.95","939.507","893.635","272.66","540.829"
"925","515.96","247.96","595.98","1244.59","2018.37","938.55","894.13","272.2","539.6"
"926","515.32","247.957","594.871","1238.18","2013.72","935.581","892.518","271.345","536.076"
"927","515.154","247.614","593.78","1235.67","2010.9","933.533","890.536","270.523","534.905"
"928","515.036","247.863","592.646","1233.19","2008.1","931.441","888.567","269.196","534.522"
"929","514.713","247.493","591.407","1230.5","2005.94","929.359","886.631","268.011","533.46"
"930","514.183","246.678","590.125","1227.77","2004.11","927.197","884.6","266.729","533.008"
"931","513.648","245.497","588.906","1225.14","2003.23","925.176","880.925","266.139","533.531"
"932","512.911","243.703","587.731","1221.57","2001.68","923.169","877.426","265.14","533.824"
"933","512.177","241.451","586.615","1218.86","1998.76","921.072","874.065","264.419","533.227"
"934","511.22","239.146","585.654","1217.29","1993.86","919.119","871.575","263.081","531.385"
"935","510.146","236.591","585.419","1217.48","1987.71","917.278","869.84","262.007","530.386"
"936","508.783","235.276","585.2","1218.58","1979.17","914.899","868.494","261.187","529.186"
"937","506.804","234.782","584.976","1218.83","1968.9","912.468","867.479","260.752","527.203"
"938","504.95","234.83","584.66","1218.64","1965.4","911.23","867.16","260.35","526.28"
"939","501.487","235.701","582.21","1216.7","1958.6","907.378","866.475","259.68","524.991"
"940","500.275","237.347","578.774","1213.44","1956.75","904.881","866.107","259.421","524.73"
"941","499.411","239.047","574.665","1209.4","1955.81","902.424","864.746","259.467","523.903"
"942","498.636","239.528","568.105","1205.12","1955.85","900.172","864.006","260.104","522.676"
"943","498.217","239.492","567.032","1201.42","1955.44","897.886","864.624","261.111","522.126"
"944","497.994","237.972","566.587","1199.28","1954.58","895.683","864.18","260.791","520.847"
"945","497.934","236.976","566.576","1196.8","1951.69","893.533","862.593","260.543","520.24"
"946","498.216","235.856","567.161","1193.55","1942.55","891.425","858.91","260.212","519.059"
"947","498.65","234.918","568.851","1190.26","1935.95","889.389","855.013","259.617","518.19"
"948","499.114","234.587","571.353","1187.54","1930.64","887.282","851.161","259.275","516.585"
"949","499.722","233.738","574.434","1185.92","1926.7","885.147","847.476","259.544","515.519"
"950","500.41","232.823","574.011","1184.9","1923.48","883.133","844.597","258.853","514.876"
"951","500.5","232.45","573.13","1184.62","1922.35","882.04","843.33","258.79","514.31"
"952","500.358","231.266","567.791","1183.53","1919.11","878.944","840.012","258.036","511.945"
"953","498.586","230.429","564.49","1182.55","1917.74","877.675","838.39","257.852","509.031"
"954","496.987","227.623","562.477","1182.35","1916.83","878.287","837.214","257.92","507.208"
"955","495.605","227.466","561.606","1182.92","1919.12","879.459","836.756","258.174","506.905"
"956","495.616","227.741","561.247","1184.46","1921.98","881.243","836.917","258.495","507.148"
"957","495.677","228.451","562.469","1186.4","1925.07","883.541","837.901","258.837","507.409"
"958","494.573","229.851","560.557","1188.75","1929.15","886.471","839.333","259.184","508.436"
"959","493.087","231.736","560.624","1191.69","1934.28","889.861","841.964","260.212","509.883"
"960","492.024","233.481","561.795","1195.32","1939.59","893.856","844.809","261.29","510.222"
"961","492.132","235.039","564.102","1199.46","1945.65","898.688","849.083","262.962","511.663"
"962","493.383","236.183","566.58","1204.13","1951.66","903.807","853.428","265.007","513.761"
"963","494.949","237.442","570.086","1209.38","1956.68","909.491","857.519","265.952","516.538"
"964","497.059","238.779","573.928","1214.65","1960.95","915.184","861.208","266.07","518.497"
"965","498.18","239.38","576.78","1216.49","1961.81","917.54","862.46","266.43","519.56"
"966","502.185","240.758","583.855","1220.9","1963.96","923.78","865.978","266.916","521.622"
"967","505.636","241.231","586.965","1222.61","1965.36","926.264","867.301","267.156","523.414"
"968","508.821","241.33","589.203","1224.18","1968.72","927.231","868.237","267.446","524.675"
"969","510.253","240.67","590.394","1226.71","1970.95","926.798","868.638","268.311","526.322"
"970","510.545","240.241","590.689","1226.53","1971.77","924.445","868.31","267.691","527.346"
"971","509.371","239.993","590.268","1224.24","1970.39","921.323","867.539","266.946","526.737"
"972","507.734","239.957","589.224","1220.33","1966.61","918.016","866.218","265.775","525.888"
"973","506.421","240.097","587.427","1216.59","1962.31","915.749","864.048","264.943","524.542"
"974","504.765","240.342","585.327","1213.45","1957.81","913.585","861.316","263.669","521.946"
"975","503.07","240.655","583.17","1210.94","1953.57","911.615","858.86","259.641","520.567"
"976","501.52","240.556","580.971","1209.21","1949.98","909.832","856.316","259.085","519.067"
"977","500.236","241.109","579.615","1208","1947.19","908.246","855.325","259.239","517.302"
"978","499.055","242.366","578.842","1207.46","1945.25","906.701","855.112","259.793","514.575"
"979","498.116","242.594","578.752","1207.59","1943.57","905.413","855.333","261.494","513.004"
"980","497.75","242.4","578.92","1207.78","1943","904.85","855.49","262.25","513.19"
"981","497.05","241.923","579.619","1208.31","1941.31","904.042","855.853","264.538","513.273"
"982","496.856","241.005","580.104","1207.2","1940.36","903.648","855.652","265.811","512.524"
