"Raman Shift [cm -1]","normalized1","normalized2","normalized3","normalized4","normalized5","normalized6","normalized7","normalized8","normalized9"
"1289","-0.8510973322672856","-0.5395381403237482","-0.2628551113840848","-0.40599504022541627","0.5646104451295018","0.24039459776031274","-0.3623401621179919","-0.3383589455880928","-0.19920991225179027"
"1290","-0.8646992592242646","-0.6737240184409822","-0.21973014477388192","-0.36194674347544453","0.5944385099587789","0.29563434433786706","-0.3722215850411881","-0.2662315623164914","-0.10580062842147461"
"1291","-0.8389302351791457","-0.6911180190573666","-0.13921023655584844","-0.29759352912702625","0.6425587147400901","0.3794329732001664","-0.31101930760078084","-0.13752835721511975","0.006361689323130444"
"1292","-0.7663500228012718","-0.6341651973404953","-0.02606765508287903","-0.20142974101793806","0.7129363034863336","0.496943161771251","-0.16571017191841433","0.014637730543130566","0.15501491955270913"
"1293","-0.6395183837253702","-0.5474081788758756","0.13340376573321694","-0.09712610593619243","0.83165254918121","0.643568506517205","0.029044341011574933","0.17548238277536227","0.3251113822880688"
"1294","-0.4562606250878198","-0.32226690432198246","0.31666403556899847","0.0796973086571205","0.9171838532707396","0.8169749552791384","0.262526183051841","0.33508190977200814","0.615556559484329"
"1295","-0.20438606764147682","-0.10532465867768914","0.5487399015756032","0.06396178657554785","1.0301243970180167","1.0097206859215007","0.5429860055537554","0.5544980556874444","0.829307220264539"
"1296","0.08205073398367375","0.16326093918083406","0.840951581979176","0.4950336616224723","1.2586390160451564","1.3390028973438655","0.8442962217352398","0.7606189545821994","1.1646140386129282"
"1297","0.39938658740160626","0.4189586483593832","1.204822356017112","0.9667630247703627","1.5052369494150195","1.6698720092373671","1.0541409785480573","1.0141012974208272","1.397524365607502"
"1298","0.7372618997867985","0.6839779595853887","1.5068908738481954","1.4906555400219985","1.7625775161270345","1.9973118220309443","1.256362609858163","1.2324157490377103","1.7937271824665764"
"1299","1.027911175175787","0.8059364237188171","1.768528813196703","2.0344840708892713","1.9999147396663308","2.305950653541189","1.4873614807054543","1.4166762958584957","2.2129636345698844"
"1300","1.3180373222586461","0.9849669098754652","1.9701913223500576","2.493426006238094","2.224288323414538","2.5851047833398604","1.7005043988968738","1.5412634651015675","2.65457435523614"
"1301","1.597280751847616","1.0552378386122239","2.115837712067646","2.917551837603802","2.4159607254885187","2.858165646176432","1.829016569570582","1.5790388370897586","2.8323306133002983"
"1302","1.8360511842381213","1.127303459488944","2.1996296637707804","2.978060704879597","2.6098398342212925","2.881497716151573","1.8383174081924387","1.5310151340490392","2.9331701521385902"
"1303","1.911466592204735","1.140210745549604","2.221516062043859","2.962725751368343","2.572168466741863","2.8597601100223513","1.8293574819615401","1.4769877709394248","2.9211218597167745"
"1304","1.9426311547252966","1.10444747179236","2.2067267264878994","2.5519119694017243","2.4916749474595763","2.6203130395784733","1.7726927213271162","1.4140202083151534","2.7713078973170417"
"1305","1.8775760231642218","1.011870047970626","2.021292668436848","2.141018102302559","2.339795180040968","2.329145817326825","1.6666243185759524","1.2953289833667807","2.516513473126826"
"1306","1.7643777348656648","0.8266963018844538","1.813954777205349","1.7073729100531447","2.156395823974592","2.0252064579003064","1.5151966550018308","1.1259773409943306","2.1561890654159805"
"1307","1.5990297049947677","0.636530592680929","1.6085722243041396","1.2802287152008256","1.9595250442088692","1.721554263567709","1.3374187579271242","0.9201422049151098","1.83366818113629"
"1308","1.3815317442541302","0.4352035172673042","1.374685711476134","0.8849374806872271","1.7583052613558037","1.421919274507553","1.119943666118084","0.7304804771480069","1.532475318506214"
"1309","1.101581508480922","0.22765046122715527","1.1224478835188332","0.5144294173185586","1.5591811768568204","1.1339964755353515","0.8457843704594732","0.5043354336632833","1.2438233837287835"
"1310","0.7855065440831238","0.04595184779275248","0.8696261260085293","0.26523808681438105","1.3812918981426918","0.9048970135015678","0.5780349367457952","0.268035569407106","0.9561794257256084"
"1311","0.45391097878594044","-0.10989239675045806","0.6258654380933516","0.08153918650809754","1.2145199135933464","0.7800994195103973","0.31750415200349236","0.021580972585421278","0.6777806823514951"
"1312","0.15086496454684037","-0.23494688390614796","0.40334906712056945","-0.05495060609190504","1.0559874928190691","0.6875334574041239","0.08562774755042761","-0.20971249349014215","0.4179627372691749"
"1313","-0.11161249810286294","-0.32797782008244986","0.21121436674259836","-0.15812670497616832","0.9094616367614954","0.6155359058875773","-0.10707869073040875","-0.4278700032549358","0.19869212899359842"
"1314","-0.32093006504113286","-0.3581386433403505","0.04539981163321391","-0.2345713445564623","0.8436689781520178","0.5680700735532122","-0.2537396247406797","-0.6035251699259541","0.09959844329058642"
"1315","-0.20121906262048883","-0.3414696722660994","-0.09460257669423984","-0.28160339893839936","0.8084253306918131","0.5500322022787981","-0.3559729625613341","-0.7184505481919191","0.005355258547422951"
"1316","-0.1611318681894956","-0.2878418978467806","-0.20625487911094792","-0.3033673725734695","0.7795303648820615","0.5646859187741681","-0.42914790672392017","-0.8040376128395751","-0.09007864487537909"
"1317","-0.15888768987961205","-0.23427134667961938","-0.28803447296181156","-0.3032764500383885","0.7538088581594552","0.585907663203495","-0.4797357615683806","-0.8481347052201248","-0.1812118753244254"
"1318","-0.17331004677631656","-0.17705648919394684","-0.33841873351350277","-0.28376872343008713","0.7317550698973807","0.5962034552815264","-0.5154211799166567","-0.8203628086585525","-0.2570613202543977"
"1319","-0.19524163862246557","-0.12730217834208435","-0.36197682508476775","-0.2482573729990951","0.7124748165172605","0.5983704790707947","-0.5289241683324098","-0.7652776019777715","-0.31817647378280445"
"1320","-0.22411029369740562","-0.08994393939999477","-0.359216715704475","-0.20844384470668156","0.7007268966461684","0.5947394624194728","-0.5182225805156632","-0.691992678680117","-0.357967593481392"
"1321","-0.2547651023986656","-0.07978821890060482","-0.33876875945568413","-0.15628400278862728","0.6975014662038131","0.5878743721402193","-0.4901921660952812","-0.6146847876079884","-0.38796760581113"
"1322","-0.286061547457722","-0.09806894383928533","-0.30977095745077415","-0.09957892727820003","0.7015076635160784","0.5773071704595389","-0.45130422364707523","-0.512088592273979","-0.4153160599041856"
"1323","-0.3225785299857635","-0.12381046450596109","-0.27780776365063425","-0.05588059931563815","0.7112562844499629","0.5646689123621168","-0.40681670092191985","-0.4095197831999142","-0.43726740894041244"
"1324","-0.3608821610232903","-0.20019812579694243","-0.24897127897677995","-0.02592068924175033","0.7258531825335175","0.556255294359026","-0.35915639536720667","-0.3403950992807167","-0.447231900556128"
"1325","-0.39811089178052667","-0.2852805653359845","-0.23138419905373514","-0.011893500504829155","0.7445033941069557","0.5557964721085388","-0.32652364804295125","-0.3057270871138839","-0.4578407948395745"
"1326","-0.4325478556159311","-0.39263035817614983","-0.22504682886195204","-0.02233142135009054","0.7661144383997965","0.5672558408545052","-0.31134525387467116","-0.2893135662445137","-0.4526192407802196"
"1327","-0.46190384197460393","-0.5136105025910971","-0.23046712021506174","-0.05138425496206171","0.7885029177024448","0.5859672312474072","-0.30351006057001023","-0.2597628911924364","-0.43376422789195157"
"1328","-0.48675134845504536","-0.6482210526694601","-0.2486606717286774","-0.09442066494048944","0.8127582174627129","0.6114626525303889","-0.29856921269125586","-0.27074442208807886","-0.43093133588977783"
"1329","-0.5019394505313713","-0.7532767755033624","-0.2745512883214107","-0.1453466768186019","0.8379862313834897","0.6292802206394436","-0.2916694035993269","-0.36175068504475244","-0.4540059548684402"
"1330","-0.5074682998477857","-0.8275438571805888","-0.3050933694344618","-0.1948992699125178","0.8596233865801257","0.634287327624719","-0.2840240733332112","-0.48822583200305497","-0.4859640511155559"
"1331","-0.4890294956203781","-0.8771916742392919","-0.34028720753000147","-0.24576027762937785","0.871320968673405","0.6309138734951251","-0.27846446003519654","-0.6339676835703082","-0.5202158534138871"
"1332","-0.45291894764436935","-0.8750752385968289","-0.3872401821775879","-0.3003677581207374","0.8715898469665675","0.6217239133356665","-0.2762040009892541","-0.7453067129355967","-0.5584091655696772"
"1333","-0.41687940401198836","-0.8791862667644509","-0.44087608790527505","-0.3604284490814195","0.8552714245020488","0.6062494989946464","-0.2788605819364453","-0.8485712437900327","-0.5868149764738876"
"1334","-0.39750892669287874","-0.8438717882331295","-0.4996722614152413","-0.4434943035509196","0.8197856632434727","0.5861217764463087","-0.32445257534859107","-0.9538875037441282","-0.6219087242995057"
"1335","-0.4280034940465714","-0.8221880553967224","-0.5605830888853992","-0.5298200661342608","0.7654286091723692","0.5615725105143952","-0.3923531213312304","-1.060242779404619","-0.6483138764876101"
"1336","-0.47860146040732726","-0.7968609968097216","-0.6195476551892223","-0.6074612013694413","0.6921987924203324","0.5342328653159477","-0.47042880575529616","-1.150422261288065","-0.6825058652489265"
"1337","-0.5407178325885544","-0.7740599803152983","-0.6730126916621616","-0.6722738937018929","0.614375952451609","0.5020023071355513","-0.5469506628784774","-1.2082237710938535","-0.6970263711184566"
"1338","-0.6097740093335473","-0.7537850457127349","-0.7209784716754681","-0.7242584586396675","0.542372013079997","0.46557909195423547","-0.610189725445151","-1.2133946066196537","-0.6907773207413634"
"1339","-0.685197781300933","-0.7607135373489846","-0.7609070193738514","-0.7617088006681074","0.47687975759880297","0.42146331478863625","-0.6609549706029691","-1.0768231566906385","-0.6769391059591107"
"1340","-0.7675616209443247","-0.7948454919229305","-0.7912756545319318","-0.7868191826838794","0.42097217893852273","0.3740849578427749","-0.7000553739484574","-0.993947125948905","-0.6373893195656297"
"1341","-0.846563500130502","-0.8315036384554271","-0.8100540446958502","-0.7988585935501281","0.3780198047783957","0.32950663491949067","-0.7278954596469459","-0.9404632885817567","-0.5902508937837199"
"1342","-0.9113290464209127","-0.870688010460909","-0.8192730485565657","-0.7941707480602732","0.3507981226753622","0.2912254210900482","-0.7412397014607905","-0.9001694670473677","-0.5261881647193613"
"1343","-0.9549902791816609","-0.8889551990441985","-0.8189329247069098","-0.7764125355082887","0.34089253017428073","0.27859815654988795","-0.7627373631308182","-0.876103473257573","-0.4704632922645524"
"1344","-0.9655281372881571","-0.888772965061117","-0.8034497867554151","-0.7455842532864034","0.35583893497699987","0.28346035181741946","-0.7842995167712341","-0.8429494507878312","-0.4247240431233828"
"1345","-0.9257724790958699","-0.8541010881394919","-0.770285640790828","-0.7065616473617058","0.3886937049543821","0.30114600304250083","-0.8047128806142618","-0.8219725701016197","-0.38732314950424973"
"1346","-0.8557553916926572","-0.8318264767534996","-0.7174101390397553","-0.6620265072314269","0.42993466832263655","0.32698911675374365","-0.8110351250454806","-0.8719053493947458","-0.35276913724208586"
"1347","-0.7663514874690398","-0.797271850010984","-0.6549765129338231","-0.6224613419272269","0.4736099638242459","0.35585724659081647","-0.8073108132407426","-0.8712319860234772","-0.32710313776938016"
"1348","-0.6833162688308617","-0.7788161333913483","-0.5885691472931447","-0.5856724827407583","0.5177347408003514","0.38308442018398664","-0.7939444578577214","-0.8513439609560347","-0.32185799764505724"
"1349","-0.607222186951775","-0.7665884261857628","-0.5232647744199665","-0.5540979368008594","0.5648862093887901","0.4072699195938517","-0.7725539194392078","-0.8193296108660244","-0.32000962332395855"
"1350","-0.5392140325338506","-0.7679919401932225","-0.4626171755254841","-0.5311507982470111","0.6122861405336025","0.4265465743769437","-0.7443526069143572","-0.7731635933745994","-0.33693505735471024"
"1351","-0.48787703998504794","-0.7632848487154031","-0.4147489718935496","-0.5148811609460626","0.6572554911625427","0.44814326110369396","-0.7109583773178965","-0.7158837212758294","-0.3643969488249263"
"1352","-0.4526389688923148","-0.756168764046508","-0.3811833409768396","-0.5091896574252287","0.6975119292970661","0.47019283140839374","-0.6841003326197134","-0.6667299037163333","-0.399100489939046"
"1353","-0.4329275762757018","-0.7454098354288751","-0.35836696416418024","-0.5092011036561711","0.7295830342032759","0.4931604650992597","-0.6556895294269963","-0.6327904777226119","-0.43335749439596694"
"1354","-0.4264535905079186","-0.7050969041709504","-0.3488383106025915","-0.511502947653842","0.7488062964606145","0.5161119631663359","-0.6334105674043237","-0.5978632670155208","-0.4726598968017484"
"1355","-0.4315000793576767","-0.6722459402492162","-0.3581817415486482","-0.496349870639249","0.7599408431820768","0.5388128331639026","-0.6403171393700633","-0.5903018601140323","-0.497237722586257"
"1356","-0.4463501079509916","-0.6394537607855221","-0.3874127713628294","-0.47056776214829393","0.7642746880644825","0.5589295090049266","-0.6574001499672131","-0.5969419739209125","-0.5142304144558312"
"1357","-0.4652803446176466","-0.6252283523939446","-0.43043982111249435","-0.4361070564075405","0.7625999814874005","0.5750613631103233","-0.672930599591124","-0.6046193253969179","-0.5121055681526254"
"1358","-0.49630366340467286","-0.6369729120165265","-0.4821866068104711","-0.4049128600268593","0.7560064106948561","0.5848748529546659","-0.6784150856873076","-0.6406748722199979","-0.47548657258243454"
"1359","-0.5296903331046535","-0.68332449995577","-0.5350385945159656","-0.37235374010296596","0.7477655249010042","0.5888352283182453","-0.6669780032504653","-0.6959948555168618","-0.4290863584124745"
"1360","-0.5642957500175357","-0.7544121949763539","-0.5788430002937438","-0.34598688931648686","0.737975285372308","0.5881074461476797","-0.6361926938975252","-0.7665286715389414","-0.3745526343660958"
"1361","-0.5972582816195687","-0.8428328044631873","-0.6095388276845547","-0.34677698883656194","0.7268328405821876","0.5843229389909619","-0.5852502967535559","-0.8330362513249517","-0.33055743281892275"
"1362","-0.6302950287245788","-0.9140380970956992","-0.6210344794441891","-0.30208004301974856","0.7144361763693691","0.5781802249669769","-0.5153641983101904","-0.9036185633929911","-0.3124777510143562"
"1363","-0.6382230145089433","-0.9754312598735181","-0.6178989891260159","-0.26065080023745063","0.7038585409807271","0.5668793592721989","-0.43219673161905137","-0.9509344907034453","-0.308231989273032"
"1364","-0.6118848357867661","-1.0393509389681577","-0.6062243342750989","-0.23955356881931178","0.6958921702676695","0.5585822992377435","-0.3976287594192192","-0.9709334296201055","-0.30958274686393816"
