"Raman Shift [cm -1]","noFluo2","noFluo3","noFluo5","noFluo6","noFluo8","noFluo9","noFluo10","noFluo11","noFluo12","noFluo13","noFluo14","noFluo15","noFluo17","noFluo18","noFluo19"
"1527","19.691586444159032","27.559824493596338","121.46319899186399","28.69790946025077","52.91087014041906","39.25726512463691","52.57193493829141","55.705769008603504","19.23338959475355","36.49080667255036","26.00055410368482","22.2248284917793","16.23393472138966","20.93089702744","132.7284542509989"
"1528","16.098890695793504","22.491398032738854","106.55225738131739","24.568745552497823","48.87473939300067","33.64886326969952","46.67956271911931","44.023337986569246","16.341391341364282","31.42364815280079","21.59363258408486","18.059678917191313","14.301938090291074","18.314123756055682","119.90132508866162"
"1529","12.918251692730248","18.220575564630316","92.82322223116799","20.803255094550664","45.18535516523687","28.72852744257439","41.170929864222614","33.78443527701914","13.724289175406762","26.705729199870824","17.746995378710995","14.379267861553478","12.531729259222926","16.00014278992224","108.2420334930363"
"1530","10.211322274131973","14.719304704758072","80.52390269615282","17.43049660710017","41.92250155106618","24.600978619217685","36.12739261306839","25.141750510479998","11.416773006864211","22.414411015562816","14.509666299445254","11.22532677495265","10.955331339117143","13.987026893605746","97.80946989284476"
"1531","8.006398886646902","11.920756393632427","69.84243857780854","14.5036736078823","39.102478488923076","21.114416264386385","31.60933725345437","18.151896621722646","9.440545387190813","18.60174474028729","11.883842157047434","8.63045293865755","9.605053444604904","12.269214064711024","88.63165900774213"
"1532","6.303586802269686","9.745572240288661","60.81808486636633","12.092061182007985","36.733241858009926","18.245928960498905","27.759034228165092","12.716739320603608","7.8063485627824605","15.297447298808112","9.84527923475943","6.588708499432343","8.492905186828457","10.861662123308014","80.65761492075289"
"1533","5.0670861091638475","8.103118629066095","53.427590485520184","10.336519025700325","34.784731980379036","15.948593925371151","24.544340550786018","8.74663380917247","6.5021403206940525","12.502072415046577","8.3585512594962","5.065956701924775","7.626391842585643","9.749166586379028","73.78920581254161"
"1534","4.240469006819481","6.89963937712246","47.58516737538602","9.199889514203019","33.214641736501974","14.149822906797262","21.943629274676","6.045957151096283","5.525737467221425","10.23104539501857","7.367673556607052","4.000744980985465","6.997252518640479","8.924702696857716","67.96419937201223"
"1535","3.764898164003444","6.028905010308914","43.15158614551114","8.551828619925903","31.956325743686744","12.762753487736113","19.990340217966295","4.427523732740403","4.8465375673526685","8.426093078859846","6.7919929051217105","3.3186353969279367","6.589058219415866","8.371168418850724","62.998595163429236"
"1536","3.560989521178948","5.3716929568926","39.97048138970031","8.289638762951249","30.964369437844006","11.852664546070546","18.69764083350095","3.6539301929516195","4.434726674551011","6.880870894272809","6.540624252908055","2.956370819639679","6.370921991982538","8.060027915950764","58.72961593073678"
"1537","3.542576542183532","4.819070639859159","37.810289851085734","8.317965429667776","30.185425788121176","11.351206207173677","18.012660025625568","3.461201802037591","4.242753727213167","5.743453678125517","6.523706755482391","2.8502961851277817","6.311920182156842","7.948229425685808","55.26153561685426"
"1538","3.6228628717090343","4.283009970172043","36.39356636498874","8.533369153712389","29.476528340025265","11.135781487230679","17.64839926165837","3.612896811753185","4.203268713232545","4.882012971452069","6.65912648150575","2.88098844769345","6.360070212340773","7.953072892420345","52.391175015821176"
"1539","3.7122001135425067","3.8064240622460113","35.38422443944899","8.817591216726893","28.743831311697743","11.122742429371385","17.395377016712644","3.7948098391818257","4.235839578537132","4.217083686440051","6.817986944360937","2.9287560973798845","6.453227199936417","7.980140402193331","49.88884090320319"
"1540","3.7357458020747063","3.317420374553447","34.49241934784041","9.073086015772613","27.843935197436558","11.207278027207808","17.200882880335392","3.8576346709184364","4.25874546411722","3.663106135752097","6.9022496820304315","2.9198613826881497","6.527847242433732","7.948913574072842","47.55375598775469"
"1541","3.6438460114517652","2.757725830902628","33.51145634225832","9.211562126407138","26.73599884462922","11.270880892348302","16.98764229117681","3.589829965617932","4.208396996202838","3.1441786898452806","6.835143919111656","2.799494224133487","6.525109156600033","7.78246631383256","45.2008878968975"
"1542","3.3916933270700036","2.081181506923766","32.20051915674497","9.189356215998476","25.40598872878131","11.164993632039357","16.896301561509546","2.858898483348077","4.031087011214753","2.595758260394489","6.545564634622735","2.5367345335883913","6.396949261148608","7.425368195646597","42.55212212355201"
"1543","2.9526427880785504","1.243597703048292","30.45306421103841","8.981784734810077","23.864103107748846","10.782284212340304","16.655476186780042","1.5887977157614643","3.6852417638188046","1.960453537324954","5.984518938989235","2.13233385731964","6.1070063043355916","6.838237119147583","39.50826589084283"
"1544","2.3065539168378297","0.2223037034623696","28.13837423457257","8.515198022555401","22.12416139337005","10.049530983106377","16.069491908766974","-0.18963499090807256","3.158779381340793","1.1934530084679342","5.126507716730208","1.567277695324644","5.660549966435954","6.001043657304776","36.01243752405094"
"1545","1.4581288836533408","-0.9938000494814703","25.206825900136863","7.774758086444742","20.215990624557225","8.932387896239856","15.10636539228462","-2.476000308054288","2.4488547916325727","0.26274331736764794","3.9678058198706965","0.8329826032901505","5.076221922605614","4.910046322176727","32.05359881773475"
"1546","0.42608545409496473","-2.4028100706981674","21.664015428589888","6.760620243968705","18.166065080462733","7.430972912318925","13.654667993662976","-5.251656729254908","1.5698288055097867","-0.8507883209379277","2.519571246855762","-0.07277723684411475","4.37743487675732","3.588203159168186","27.66432508401085"
"1547","-0.7518111264623744","-3.9889154840296497","17.5744668022296","5.526197857468817","15.946341062749516","5.590544329938293","11.773995326336262","-8.42735921548143","0.5426188417039437","-2.1322874529166738","0.8215610847615618","-1.1330275043028861","3.591014107515912","2.174802664955076","22.905910466535186"
"1548","-2.0123230115910897","-5.726390292289818","13.030120654511995","4.107600015559989","13.572237571564429","3.4778003034692837","9.514366295021903","-11.88684953096326","-0.5975812660497194","-3.5085497775301233","-1.0634626934357105","-2.3238777969326723","2.7525965020945815","0.6973323865727967","17.867210452551483"
"1549","-3.2854953088977377","-7.575204970949359","8.125598038985117","2.5427870889637134","11.088512633699079","1.1708382641892783","6.9602172989842765","-15.508527738647482","-1.799337983668888","-4.904104237687744","-3.0482800885847214","-3.6170008577487254","1.896033454906064","-0.7992032041365621","12.648278587838558"
"1550","-4.511514050562833","-9.479826467635363","2.9831067103293227","0.8779436776349656","8.595955089675194","-1.2500044991711008","4.219905614043608","-19.14242224630321","-3.0133239701329773","-6.267214952299564","-5.054478775668916","-4.988189096173154","1.0354855536129268","-2.2701957539480997","7.344828312430787"
"1551","-5.648002811217045","-11.350221100183775","-2.232372401419744","-0.8373909541833177","6.184681211758557","-3.66537402798097","1.5243219533369432","-22.673198499954072","-4.2027509273996495","-7.539604887448077","-7.013455069813934","-6.395812558525409","0.1723153328113437","-3.6701112890745122","2.05084552097534"
"1552","-6.657114494915083","-13.170683541632584","-7.386677460557802","-2.542098723105825","3.9039491963640387","-6.022323847472967","-1.0481974550272284","-26.011380237719063","-5.343466218448926","-8.696620107263323","-8.870583974425468","-7.795207333316284","-0.683739779048727","-4.9591510846743185","-3.1454365580688326"
